model_name,checkpoint_path,threshold_kind,target_precision,confidence_threshold,category_id,category_name,predicted_probability,accepted_probability,accepted_distribution
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,51,Furniture and home furnishings,0.021,0.0125,0.016711229946524065
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,52,"Kitchenware, cookware, and tableware",0.0234,0.0128,0.017112299465240642
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,53,Home appliances,0.0099,0.007,0.009358288770053475
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,54,"Electronics, audio, and office devices",0.0367,0.0251,0.03355614973262032
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,55,Cameras and optics,0.0063,0.0051,0.006818181818181818
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,56,"Tools, hardware, and fasteners",0.0341,0.0179,0.02393048128342246
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,57,"Weapons, armor, and protective gear",0.0104,0.0072,0.009625668449197862
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,58,"Sports, games, and exercise equipment",0.0237,0.0179,0.02393048128342246
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,59,"Medical, lab, and safety equipment",0.0071,0.0032,0.0042780748663101605
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,60,Public fixtures and signage,0.0193,0.0137,0.018315508021390373
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,61,"Lighting, heat, and fire objects",0.0078,0.0043,0.005748663101604278
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,62,"Bath, cleaning, and household items",0.0118,0.0065,0.008689839572192513
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,63,Personal care and cosmetics,0.0055,0.0033,0.004411764705882353
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,64,"Containers, bottles, and packaging",0.0266,0.0147,0.0196524064171123
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,65,Prepared foods and drinks,0.0275,0.0207,0.027673796791443852
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,66,"Fruits, vegetables, and edible plants",0.0223,0.0196,0.026203208556149733
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,67,Fungi,0.008,0.0074,0.009893048128342246
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,68,Landscapes and geology,0.0147,0.0106,0.014171122994652407
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,69,People and roles,0.0035,0.0024,0.0032085561497326204
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,70,"Plants, flowers, and crops",0.0036,0.0032,0.0042780748663101605
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,71,"Text, media, and web pages",0.0038,0.0031,0.004144385026737968
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,72,Miscellaneous visually distinct objects,0.0644,0.0404,0.05401069518716577
